"Level","No","Fitur / Sub-Fitur","Kerumitan","Cara Pengujian","Status","Catatan"
"Level 1: Otentikasi, Akun, & Ruang Kerja / Workspace (Ringan-Sedang)","1.1","Landing Page","Ringan","Akses `/`. Pastikan Hero section, daftar fitur, dan skema harga (pricing) tampil dengan desain premium.","Belum Diuji",""
"Level 1: Otentikasi, Akun, & Ruang Kerja / Workspace (Ringan-Sedang)","1.2","Pendaftaran Akun (SignUp)","Ringan","Akses `/signup`. Coba buat akun baru. Pastikan validasi email dan password berjalan.","Belum Diuji",""
"Level 1: Otentikasi, Akun, & Ruang Kerja / Workspace (Ringan-Sedang)","1.3","Login Tradisional","Ringan","Akses `/login`. Masuk dengan akun yang telah dibuat. Pastikan diarahkan ke `/dashboard`.","Belum Diuji",""
"Level 1: Otentikasi, Akun, & Ruang Kerja / Workspace (Ringan-Sedang)","1.4","Lupa Password (Forgot Password)","Sedang-Ringan","Di halaman `/login`, klik tombol ""Lupa Password?"". Masukkan email Anda dan klik kirim. Pastikan email reset terkirim oleh Supabase.","Belum Diuji","Rujukan: `resetPasswordForEmail` di AuthContext.tsx"
"Level 1: Otentikasi, Akun, & Ruang Kerja / Workspace (Ringan-Sedang)","1.5","Atur Ulang Password (Reset Password)","Sedang","Akses tautan dari email masuk atau langsung ke `/reset-password`. Ketik password baru dan konfirmasi password. Pastikan password diubah dan diarahkan kembali ke login.","Belum Diuji","Rujukan: ResetPassword.tsx"
"Level 1: Otentikasi, Akun, & Ruang Kerja / Workspace (Ringan-Sedang)","1.6","Login Google (OAuth)","Sedang-Ringan","Klik tombol ""Masuk dengan Google"". Pastikan integrasi Supabase Auth Google berjalan.","Belum Diuji","Rujukan: GOOGLE_AUTH_SETUP.md"
"Level 1: Otentikasi, Akun, & Ruang Kerja / Workspace (Ringan-Sedang)","1.7","Multi-Workspace Context","Sedang","Akses `/school-admin` atau cek selector workspace. Pastikan workspace ter-load dari DB (`workspace_members`) dan bisa berpindah (*switch workspace*).","Belum Diuji","Rujukan: WorkspaceContext.tsx"
"Level 1: Otentikasi, Akun, & Ruang Kerja / Workspace (Ringan-Sedang)","1.8","Validasi & Override Tier Langganan","Sedang","Ubah tier langganan (Trial, Basic, Pro, Premium, School). Cek apakah pembatasan fitur (misal model AI Gemini Pro hanya untuk Pro ke atas) langsung berlaku secara real-time.","Belum Diuji","Mendukung override lokal untuk keperluan testing."
"Level 1: Otentikasi, Akun, & Ruang Kerja / Workspace (Ringan-Sedang)","1.9","Database Credits (Kredit Real)","Sedang-Berat","Lihat sisa kredit di dashboard/sidebar. Pastikan kredit diambil dari tabel `credits` di database. Jika data kosong, pastikan fallback mockup sesuai tier aktif bekerja.","Belum Diuji","Rujukan: credits.ts"
"Level 1: Otentikasi, Akun, & Ruang Kerja / Workspace (Ringan-Sedang)","1.10","Pengaturan Profil & Memori Guru","Ringan-Sedang","Akses `/settings`. Pastikan dapat mengedit profil, mengunggah avatar (resize otomatis ke 150x150px), serta menyimpan ""Memori Guru"" (Gaya Mengajar, Model Pembelajaran, Fokus Karakter) ke Supabase.","Belum Diuji","Rujukan: Settings.tsx"
"Level 2: Integrasi Google Drive & Google Sheets Database (Sedang-Berat)","2.1","Koneksi Google Drive (OAuth)","Sedang-Berat","Klik ""Hubungkan Google Drive"". Selesaikan autentikasi OAuth Google. Pastikan access token dan masa kedaluwarsa tersimpan di `localStorage`.","Belum Diuji","Meminta scope `spreadsheets` dan `drive.file`."
"Level 2: Integrasi Google Drive & Google Sheets Database (Sedang-Berat)","2.2","Silent Token Renewal","Berat","Setel token manual agar expired, lalu lakukan aksi database. Pastikan sistem memperbarui token secara *silent* (tanpa popup) jika status koneksi masih aktif.","Belum Diuji","Menggunakan `checkAndRenewToken` di client."
